EVENTNUM,EVENTMSGTYPE,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,VISITORDESCRIPTION,SCOREMARGIN,PLAYER1_ID,PLAYER1_TEAM_CITY,shot time,shot clock usage,closest defender,distance
514,1,4,7:14,,Ellington 20' Jump Shot (5 PTS) (Larkin 3 AST),-3.0,201961,Brooklyn,2443.36,22.97,3.7549822877877865,21.769338818312786
515,2,4,7:03,MISS Turner 24' 3PT Jump Shot,,-3.0,202323,Boston,2456.01,9.22,10.029745780113274,23.279809426722124
517,2,4,6:38,,MISS Johnson 3' Layup,-3.0,2207,Brooklyn,2479.41,22.47,4.4981332059644465,2.885621768995377
519,1,4,6:34,,Lopez 2' Putback Layup (26 PTS),-5.0,201572,Brooklyn,2482.71,22.47,1.5475906406088136,0.30420304617146804
520,2,4,6:25,MISS Crowder 27' 3PT Jump Shot,,-5.0,203109,Boston,2493.55,8.53,13.200472751416898,24.446831722292767
522,2,4,6:12,,MISS Larkin 26' 3PT Jump Shot,-5.0,203499,Brooklyn,2507.32,13.21,7.210719710105227,23.051958831936606
529,2,4,5:54,MISS Jerebko 25' 3PT Jump Shot,,-5.0,201973,Boston,2524.86,17.17,7.115624960999561,24.620130281121583
531,1,4,5:34,,Lopez 10' Floating Jump Shot (28 PTS) (Larkin 4 AST),-7.0,201572,Brooklyn,2543.9700000000003,18.17,4.959806171716794,10.43279310049327
532,1,4,5:20,Thomas 1' Driving Reverse Layup (19 PTS),,-5.0,202738,Boston,2557.12,7.609999999999999,2.4645745846697342,1.5069596507537937
533,2,4,5:03,,MISS Lopez 9' Hook Shot,-5.0,201572,Brooklyn,2575.66,15.65,2.0395412887460744,9.455084584946874
535,2,4,4:47,MISS Johnson 7' Hook Shot,,-5.0,101161,Boston,2591.3,15.72,2.170285142417934,5.676018301115664
539,2,4,4:23,,MISS Bogdanovic 8' Jump Shot,-5.0,202711,Brooklyn,2615.4,19.740000000000002,0.7672560600607864,5.670151191679108
541,2,4,4:19,,MISS Johnson 24' 3PT Jump Shot,-5.0,2207,Brooklyn,2620.2799999999997,19.740000000000002,5.147673806342043,25.638810159898213
543,2,4,4:05,,MISS Lopez 12' Turnaround Fadeaway Shot,-5.0,201572,Brooklyn,2634.3,11.08,2.235067417797504,10.672154467922589
545,2,4,3:57,MISS Turner 2' Layup,,-5.0,202323,Boston,2640.44,5.559999999999999,1.9854038089265367,2.025901482797226
546,2,4,3:55,MISS Crowder 1' Tip Layup Shot,,-5.0,203109,Boston,2640.44,5.559999999999999,2.0454136422738576,5.675272222017196
549,1,4,3:34,,Johnson 16' Step Back Jump Shot (18 PTS),-7.0,2207,Brooklyn,2664.54,21.06,5.230838971532196,15.998348367653456
550,1,4,3:19,Thomas 26' 3PT Jump Shot (22 PTS) (Johnson 2 AST),,-4.0,202738,Boston,2680.14,12.24,6.955826603963043,23.1036357053192
559,2,4,2:38,MISS Olynyk 25' 3PT Jump Shot,,-4.0,203482,Boston,2720.8,16.2,6.368060851970563,25.074941821001303
561,1,4,2:22,,Johnson 18' Pullup Jump Shot (20 PTS),-8.0,2207,Brooklyn,2736.7,15.03,2.0340461458383867,18.364550761249237
565,2,4,1:52,MISS Thomas 14' Jump Shot,,-8.0,202738,Boston,2765.74,9.17,5.106629772452666,14.01715927677574
567,2,4,1:30,,MISS Larkin 24' 3PT Jump Shot,-8.0,203499,Brooklyn,2788.79,21.509999999999998,8.508312350924827,23.173463436217297
571,2,4,1:00,,MISS Lopez 9' Jump Shot,-8.0,201572,Brooklyn,2818.55,20.97,,
573,1,4,0:55,Thomas 2' Cutting Layup Shot (24 PTS) (Turner 3 AST),,-6.0,202738,Boston,2824.9,4.84,,
575,1,4,0:39,Crowder  Layup (15 PTS) (Thomas 6 AST),,-4.0,203109,Boston,2840.69,3.3999999999999986,1.966927350386884,3.9483964567023953
582,1,4,0:26,,Lopez  Dunk (30 PTS) (Young 1 AST),-5.0,201572,Brooklyn,2852.58,11.49,1.6272173246373698,1.8247282626462493
585,2,4,0:23,MISS Crowder 24' 3PT Jump Shot,,-5.0,203109,Boston,2865.96,,1.2661279474444893,23.00095337659724
588,2,4,0:14,MISS Thomas 27' 3PT Jump Shot,,-5.0,202738,Boston,2865.96,,3.2855547802007483,23.001412993092398
590,1,4,0:11,Turner 2' Putback Layup (12 PTS),,-3.0,202323,Boston,2867.98,,2.0206031140478844,1.1656059548578153
595,2,4,0:02,MISS Jerebko  3PT Jump Shot,,-3.0,201973,Boston,2876.66,,6.246811949762855,23.143232479895715
